run_id,run_name,state,use_self_attention_oe,attention_top_p,masking_probability,attention_filtering_method,oe_source,oe_method,dataset,num_epochs,auroc_ag_news,aupr_ag_news,fpr95_ag_news,auroc_wikitext,aupr_wikitext,fpr95_wikitext,auroc_mean,aupr_mean,fpr95_mean,id_val_f1,val_accuracy,val_auroc,generated_oe,processed_oe,epoch,runtime
idxf7cnl,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251009_081800,finished,True,0.25,0.05,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.753667403152158,0.7565230182711014,0.7118868758285462,0.8514209518493538,0.8418983512354522,0.4812196199734865,0.8025441775007559,0.7992106847532767,0.5965532479010163,0.7329975962638855,0.7410516738891602,0.9657136797904968,1231,9051,4,1274
z9f6wson,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251009_083923,finished,True,0.25,0.05,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7893967447341288,0.803278032922832,0.6752098983650022,0.8484474110596865,0.8461374086417279,0.5108263367211666,0.8189220778969076,0.8247077207822799,0.5930181175430844,0.7319496870040894,0.7410516738891602,0.9632055163383484,1231,9051,4,1318
rrmfqb0e,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251009_090129,finished,True,0.25,0.05,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.7492796435410223,0.7529125963168082,0.726027397260274,0.8495243078974503,0.8401856775281107,0.4958020326999558,0.7994019757192363,0.7965491369224594,0.6109147149801148,0.7308884263038635,0.7401679158210754,0.9625191688537598,1229,9051,4,1322
k62v1rht,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251009_092339,finished,True,0.25,0.05,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.786304021210782,0.7979154544141378,0.6491383119752541,0.8664365730942469,0.8651891630196896,0.4745912505523641,0.8263702971525144,0.8315523087169137,0.5618647812638091,0.7273295521736145,0.736190915107727,0.9647765159606934,1232,9051,4,1310
m4p0tj3m,20newsgroups_Self_Attention_OE_sequential_cross_20251009_094538,finished,True,0.25,0.05,sequential,Self_Attention_OE_sequential,SelfAttention,20newsgroups,5,0.8460527323611724,0.8388171242152166,0.4900574458683164,0.7651724538921321,0.7548576879792372,0.7719840919133893,0.8056125931266522,0.796837406097227,0.6310207688908529,0.7361027002334595,0.7454706430435181,0.9613391757011414,9051,9051,4,1275
kh98th11,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251009_160027,finished,True,0.25,0.05,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.753667403152158,0.7565230182711014,0.7118868758285462,0.8514209518493538,0.8418983512354522,0.4812196199734865,0.8025441775007559,0.7992106847532767,0.5965532479010163,0.7329975962638855,0.7410516738891602,0.9657136797904968,1231,9051,4,1357
jg6xnb45,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251009_162312,finished,True,0.25,0.05,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7893967447341288,0.803278032922832,0.6752098983650022,0.8484474110596865,0.8461374086417279,0.5108263367211666,0.8189220778969076,0.8247077207822799,0.5930181175430844,0.7319496870040894,0.7410516738891602,0.9632055163383484,1231,9051,4,1357
p5enb3gy,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251009_164557,finished,True,0.25,0.05,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.7492796435410223,0.7529125963168082,0.726027397260274,0.8495243078974503,0.8401856775281107,0.4958020326999558,0.7994019757192363,0.7965491369224594,0.6109147149801148,0.7308884263038635,0.7401679158210754,0.9625191688537598,1229,9051,4,1334
wbrlq277,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251009_170820,finished,True,0.25,0.05,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.786304021210782,0.7979154544141378,0.6491383119752541,0.8664365730942469,0.8651891630196896,0.4745912505523641,0.8263702971525144,0.8315523087169137,0.5618647812638091,0.7273295521736145,0.736190915107727,0.9647765159606934,1232,9051,4,1277
pxhk9llw,20newsgroups_Self_Attention_OE_sequential_cross_20251009_172945,finished,True,0.25,0.05,sequential,Self_Attention_OE_sequential,SelfAttention,20newsgroups,5,0.8460527323611724,0.8388171242152166,0.4900574458683164,0.7651724538921321,0.7548576879792372,0.7719840919133893,0.8056125931266522,0.796837406097227,0.6310207688908529,0.7361027002334595,0.7454706430435181,0.9613391757011414,9051,9051,4,1331
6zay86s0,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251011_091530,finished,True,0.15,0,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.7191890558256002,0.7175204291578894,0.8448961555457357,0.8247590141947888,0.801424743362283,0.5426425099425541,0.7719740350101945,0.7594725862600862,0.693769332744145,0.7425805330276489,0.7534246444702148,0.9767779111862184,0,0,2,1247
